Threshold,Accuracy,Precision,Recall,F1_Score,Kappa
0.01,0.5169,0.5082,1.0,0.6739,0.0352
0.02,0.5322,0.5163,0.9992,0.6808,0.0658
0.03,0.5479,0.5248,0.9985,0.688,0.0971
0.04,0.5648,0.5344,0.9969,0.6958,0.1308
0.05,0.5809,0.5439,0.9939,0.7031,0.1629
0.06,0.5962,0.5534,0.9916,0.7103,0.1935
0.07,0.6143,0.5649,0.99,0.7193,0.2294
0.08,0.6262,0.5733,0.9823,0.724,0.2531
0.09,0.64,0.5831,0.9777,0.7306,0.2807
0.1,0.6538,0.5932,0.9754,0.7377,0.3082
0.11,0.6668,0.6031,0.9724,0.7445,0.3342
0.12,0.6764,0.6108,0.9693,0.7494,0.3533
0.13,0.6879,0.6202,0.967,0.7557,0.3763
0.14,0.6971,0.628,0.9647,0.7608,0.3947
0.15,0.704,0.6341,0.9624,0.7645,0.4084
0.16,0.7109,0.6405,0.9593,0.7681,0.4222
0.17,0.7205,0.6491,0.9578,0.7738,0.4414
0.18,0.7285,0.6566,0.9562,0.7786,0.4574
0.19,0.735,0.6629,0.9547,0.7825,0.4704
0.2,0.7396,0.6681,0.9508,0.7848,0.4796
0.21,0.7442,0.6734,0.947,0.7871,0.4888
0.22,0.7508,0.6803,0.9447,0.791,0.5018
0.23,0.7535,0.6838,0.9416,0.7922,0.5072
0.24,0.7584,0.6894,0.9393,0.7952,0.5171
0.25,0.763,0.6948,0.937,0.7979,0.5263
0.26,0.768,0.7006,0.9347,0.8009,0.5363
0.27,0.773,0.7078,0.9286,0.8033,0.5462
0.28,0.7772,0.7129,0.927,0.806,0.5547
0.29,0.7818,0.7188,0.9247,0.8089,0.5638
0.3,0.7845,0.7234,0.9201,0.81,0.5692
0.31,0.7876,0.7283,0.9163,0.8116,0.5753
0.32,0.7887,0.7308,0.9132,0.8119,0.5776
0.33,0.7922,0.7372,0.9071,0.8134,0.5845
0.34,0.7952,0.7418,0.9048,0.8152,0.5906
0.35,0.7987,0.747,0.9025,0.8174,0.5975
0.36,0.8002,0.7505,0.8986,0.8179,0.6006
0.37,0.8021,0.7562,0.8909,0.8181,0.6044
0.38,0.8018,0.7587,0.884,0.8166,0.6036
0.39,0.8025,0.7618,0.8794,0.8164,0.6052
0.4,0.8044,0.7651,0.8779,0.8176,0.609
0.41,0.8056,0.7677,0.8756,0.8181,0.6113
0.42,0.8056,0.7702,0.8702,0.8172,0.6113
0.43,0.8064,0.7735,0.8656,0.817,0.6128
0.44,0.8064,0.7769,0.8587,0.8158,0.6128
0.45,0.806,0.7783,0.8548,0.8148,0.612
0.46,0.8087,0.7854,0.8487,0.8158,0.6174
0.47,0.8087,0.7891,0.8418,0.8146,0.6174
0.48,0.8067,0.7908,0.8333,0.8115,0.6135
0.49,0.8044,0.792,0.8249,0.8081,0.6089
0.5,0.8037,0.797,0.8141,0.8055,0.6074
0.51,0.8056,0.8041,0.8072,0.8057,0.6112
0.52,0.8037,0.8057,0.7995,0.8026,0.6074
0.53,0.8041,0.8122,0.7903,0.8011,0.6081
0.54,0.8025,0.8161,0.7803,0.7978,0.605
0.55,0.8041,0.8229,0.7742,0.7978,0.6081
0.56,0.8021,0.8275,0.7627,0.7938,0.6042
0.57,0.8048,0.8357,0.7581,0.795,0.6096
0.58,0.8033,0.841,0.7473,0.7914,0.6065
0.59,0.801,0.8449,0.7366,0.787,0.6019
0.6,0.7975,0.8468,0.7258,0.7816,0.595
